id_geral,cd_escola,vl_proficiencia_fup,treatment,vl_proficiencia_bl,dumm_rp_08_bl,dumm_rp_09_bl,dumm_rp_14_bl,dumm_rp_23_bl,dumm_rp_24_bl,dumm_rp_49_bl,dumm_rp_50_bl,dumm_rp_64A_bl,dumm_rp_65A_bl,dumm_rp_95_bl,dumm_rp_08p_bl,dumm_rp_14p_bl,dumm_rp_23p_bl,female_coded
10223,35045196.0,50.140305,0,71.33207,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
10224,35011514.0,55.932594,1,45.423294,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
10225,35035993.0,71.84055,1,56.273853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0
10226,23041404.0,46.021023,0,33.95078,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,1
10227,23142332.0,82.36695,0,61.604473,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1
10228,35923285.0,69.423225,0,65.84404,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
10229,23047860.0,64.09138,1,58.604828,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
1023,35012178.0,81.92861,1,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,1
10231,23132000.0,33.43334,0,32.85925,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1
10235,33051330.0,41.960114,1,49.514523,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1
10237,35011460.0,58.186554,0,44.467342,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
10238,33038724.0,63.29932,0,52.835762,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
10239,31068349.0,58.081146,0,52.90076,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
1024,35012178.0,42.11775,1,,,,,,,0.0,1.0,1.0,,1.0,,,,1
